/// Драйвер FR: 4.12.0.370
/// Модель: Retail-01К; №12345678
/// Версия ПО: A.4.52750 (11.03.2014)
/// Текущая дата: 02.02.2015 17:07:31
// Таблица 1, Тип и режим кассы
// Номер таблицы,Ряд,Поле,Размер поля,Тип поля,Мин. значение, Макс.значение, Название,Значение
1,1,1,1,0,1,99,Номер птк в магазине,1
1,1,2,1,0,0,1,Авт. обнуление денежной наличности,0
1,1,3,1,0,0,3,Печать рекламного текста,0
1,1,4,1,0,0,1,Печать остатков фп в отчете,0
1,1,5,1,0,0,2,Печать необнуляемой суммы,1
1,1,6,1,0,0,1,Работа с денежным ящиком,1
1,1,7,1,0,0,2,Отрезка чека,0
1,1,8,1,0,0,1,Печатать дробное в количестве,0
1,1,9,1,0,0,1,Лог. уровень дат. денежного ящика,0
1,1,10,1,0,0,255,Длительность имп. денежного ящика,10
1,1,11,1,0,0,255,Длительность паузы денежного ящика,1
1,1,12,1,0,0,255,Количество имп. денежного ящика,1
1,1,13,1,0,0,1,Использование весовых датчиков,0
1,1,14,1,0,0,1,Начисление налогов,0
1,1,15,1,0,0,1,Автоматический перевод времени,0
1,1,16,1,0,0,2,Печать налогов,0
1,1,17,1,0,0,1,Печать заголовка,0
1,1,18,1,0,0,1,Печать единичного количества,0
1,1,19,1,0,0,1,Сохранять строки в буфере чека,0
1,1,20,1,0,0,1,Печать чека по закрытию,0
1,1,21,1,0,0,1,Промотка перед отрезкой,0
1,1,22,1,0,0,1,Отрезка при открытом чеке,0
1,1,23,1,0,0,1,Запрет нулевого чека,0
1,1,24,1,0,0,1,Отступ в строке типов оплаты,1
1,1,25,1,0,0,1,Использование форматирования в чеке,1
1,1,26,1,0,0,1,Обнуление счетчика чеков,0
1,1,27,1,0,0,99,Контроль времени,0
1,1,28,1,0,0,1,Отключение звука при ошибках,0
1,1,29,1,0,0,10,Межстрочный интервал,4
1,1,30,1,0,0,1,Тип суточного отчета,0
1,1,31,1,0,0,1,Сжатие шрифта на чековой ленте,1
1,1,32,1,0,0,1,Разгон при печати,1
1,1,33,1,0,0,1,Коррекция яркости,0
1,1,34,1,0,0,3,Яркость печати,3
1,1,35,1,0,0,1,Печать типов оплаты,1
1,1,36,1,0,0,1,Положение принтера,0
1,1,37,1,0,0,1,Печать рнм,1
1,1,38,1,0,0,1,Укороченное клише,0
1,1,39,1,0,0,1,Печать клише после завершения документа,1
1,1,40,1,0,0,2,Скорость печати,0
1,1,41,1,0,0,1,Кодирование реквизитов чека,0
1,1,42,1,0,0,2,Кодирование ссылки,0
1,1,43,1,0,0,1,Автопечать журнала,1
// Таблица 2, Пароли кассиров и администраторов
// Номер таблицы,Ряд,Поле,Размер поля,Тип поля,Мин. значение, Макс.значение, Название,Значение
2,1,1,4,0,0,99999999,Пароли кассиров,1
2,2,1,4,0,0,99999999,Пароли кассиров,2
2,3,1,4,0,0,99999999,Пароли кассиров,3
2,4,1,4,0,0,99999999,Пароли кассиров,4
2,5,1,4,0,0,99999999,Пароли кассиров,5
2,6,1,4,0,0,99999999,Пароли кассиров,6
2,7,1,4,0,0,99999999,Пароли кассиров,7
2,8,1,4,0,0,99999999,Пароли кассиров,8
2,9,1,4,0,0,99999999,Пароли кассиров,9
2,10,1,4,0,0,99999999,Пароли кассиров,10
2,11,1,4,0,0,99999999,Пароли кассиров,11
2,12,1,4,0,0,99999999,Пароли кассиров,12
2,13,1,4,0,0,99999999,Пароли кассиров,13
2,14,1,4,0,0,99999999,Пароли кассиров,14
2,15,1,4,0,0,99999999,Пароли кассиров,15
2,16,1,4,0,0,99999999,Пароли кассиров,16
2,17,1,4,0,0,99999999,Пароли кассиров,17
2,18,1,4,0,0,99999999,Пароли кассиров,18
2,19,1,4,0,0,99999999,Пароли кассиров,19
2,20,1,4,0,0,99999999,Пароли кассиров,20
2,21,1,4,0,0,99999999,Пароли кассиров,21
2,22,1,4,0,0,99999999,Пароли кассиров,22
2,23,1,4,0,0,99999999,Пароли кассиров,23
2,24,1,4,0,0,99999999,Пароли кассиров,24
2,25,1,4,0,0,99999999,Пароли кассиров,25
2,26,1,4,0,0,99999999,Пароли кассиров,26
2,27,1,4,0,0,99999999,Пароли кассиров,27
2,28,1,4,0,0,99999999,Пароли кассиров,28
2,29,1,4,0,0,99999999,Пароли кассиров,29
2,30,1,4,0,0,99999999,Пароли кассиров,30
2,1,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 1
2,2,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 2
2,3,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 3
2,4,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 4
2,5,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 5
2,6,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 6
2,7,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 7
2,8,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 8
2,9,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 9
2,10,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 10
2,11,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 11
2,12,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 12
2,13,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 13
2,14,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 14
2,15,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 15
2,16,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 16
2,17,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 17
2,18,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 18
2,19,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 19
2,20,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 20
2,21,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 21
2,22,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 22
2,23,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 23
2,24,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 24
2,25,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 25
2,26,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 26
2,27,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 27
2,28,2,21,1,0,99999999,Реквизиты кассиров,КАССИР 28
2,29,2,21,1,0,99999999,Реквизиты кассиров,АДМИНИСТРАТОР
2,30,2,21,1,0,99999999,Реквизиты кассиров,СИСТ. АДМИНИСТРАТОР
// Таблица 3, Таблица перевода времени
// Номер таблицы,Ряд,Поле,Размер поля,Тип поля,Мин. значение, Макс.значение, Название,Значение
3,1,1,1,0,0,1,Разрешение перевода,0
3,2,1,1,0,0,1,Разрешение перевода,0
3,3,1,1,0,0,1,Разрешение перевода,1
3,4,1,1,0,0,1,Разрешение перевода,0
3,5,1,1,0,0,1,Разрешение перевода,1
3,6,1,1,0,0,1,Разрешение перевода,0
3,7,1,1,0,0,1,Разрешение перевода,1
3,8,1,1,0,0,1,Разрешение перевода,0
3,9,1,1,0,0,1,Разрешение перевода,1
3,10,1,1,0,0,1,Разрешение перевода,0
3,11,1,1,0,0,1,Разрешение перевода,1
3,12,1,1,0,0,1,Разрешение перевода,0
3,13,1,1,0,0,1,Разрешение перевода,1
3,14,1,1,0,0,1,Разрешение перевода,0
3,15,1,1,0,0,1,Разрешение перевода,1
3,16,1,1,0,0,1,Разрешение перевода,0
