/// ДРАЙВЕР ФР 4.9.0.152
/// МОДЕЛЬ: ШТРИХ-МИНИ-ФР-К; №89754665
/// ВЕРСИЯ ПО ФР: A.4.7407 (07.07.2000)
/// ТЕКУЩАЯ ДАТА: 12.08.2009 19:33:46
// ТАБЛИЦА 1, ТИП И РЕЖИМ КАССЫ
// НОМЕР ТАБЛИЦЫ,РЯД,ПОЛЕ,РАЗМЕР ПОЛЯ,ТИП ПОЛЯ,МИН. ЗНАЧЕНИЕ, МАКС.ЗНАЧЕНИЕ, НАЗВАНИЕ,ЗНАЧЕНИЕ
1,1,1,1,0,1,99,НОМЕР ККМ В МАГАЗИНЕ,1
1,1,2,1,0,0,1,АВТ. ОБНУЛЕНИЕ ДЕНЕЖНОЙ НАЛИЧНОСТИ,0
1,1,3,1,0,0,1,ПЕЧАТЬ РЕКЛАМНОГО ТЕКСТА,1
1,1,4,1,0,0,1,ПЕЧАТЬ ОСТАТКОВ ФП В ОТЧЕТЕ,0
1,1,5,1,0,0,2,ПЕЧАТЬ НЕОБНУЛЯЕМОЙ СУММЫ,1
1,1,6,1,0,0,1,РАБОТА С ДЕНЕЖНЫМ ЯЩИКОМ,0
1,1,7,1,0,0,1,ОТРЕЗКА ЧЕКА ПОСЛЕ ЗАВЕРШЕНИЯ ПЕЧАТИ,0
1,1,8,1,0,0,1,ПЕЧАТАТЬ ДРОБНОЕ В КОЛИЧЕСТВЕ,1
1,1,9,1,0,0,1,ЛОГ. УРОВЕНЬ ДАТЧИКА ДЕНЕЖНОГО ЯЩИКА,0
1,1,10,1,0,0,1,ЛОГ. УРОВЕНЬ 5В ДЕНЕЖНОГО ЯЩИКА,0
1,1,11,1,0,1,255,ДЛИТЕЛЬНОСТЬ ИМП. ОТКР. ДЕНЕЖНОГО ЯЩИКА,10
1,1,12,1,0,1,255,ДЛИТЕЛЬНОСТЬ ПАУЗЫ ДЕНЕЖНОГО ЯЩИКА,1
1,1,13,1,0,0,255,КОЛИЧЕСТВО ИМП. ДЕНЕЖНОГО ЯЩИКА,1
1,1,14,1,0,0,3,ЯРКОСТЬ ПЕЧАТИ,1
1,1,15,1,0,0,1,НАЧИСЛЕНИЕ НАЛОГОВ,0
1,1,16,1,0,0,1,АВТОМАТИЧЕСКИЙ ПЕРЕВОД ВРЕМЕНИ,0
1,1,17,1,0,0,2,ПЕЧАТЬ НАЛОГОВ,0
1,1,18,1,0,0,1,ПЕЧАТЬ ЗАГОЛОВКА ЧЕКА,1
1,1,19,1,0,0,1,ПЕЧАТЬ ЕДИНИЧНОГО КОЛИЧЕСТВА,0
1,1,20,1,0,0,1,СОХРАНЯТЬ СТРОКИ В БУФЕРЕ ЧЕКА,0
1,1,21,1,0,0,1,ПЕЧАТЬ ЧЕКА ПО ЗАКРЫТИЮ,0
1,1,22,1,0,0,1,ЗАПРЕТ НУЛЕВОГО ЧЕКА,0
1,1,23,1,0,0,1,ОТСТУП В СТРОКЕ ТИПОВ ОПЛАТЫ,1
1,1,24,1,0,0,1,СОХРАНЕНИЕ ГРАФИЧЕСКИХ ОБЪЕКТОВ В ЧЕКЕ,0
1,1,25,1,0,0,1,СЖАТИЕ ШРИФТА НА ЧЕКОВОЙ ЛЕНТЕ,0
1,1,26,1,0,0,1,ИСПОЛЬЗОВАНИЕ ФОРМАТИРОВАНИЯ В ЧЕКЕ,1
1,1,27,1,0,0,1,ОБНУЛЕНИЕ СЧЕТЧИКА ЧЕКОВ,1
1,1,28,1,0,0,99,КОНТРОЛЬ ЧАСОВ,0
1,1,29,1,0,0,1,ОТКЛЮЧЕНИЕ ЗВУКА ПРИ ОШИБКАХ,0
1,1,30,1,0,0,1,ПРОМОТКА ПЕРЕД ОТРЕЗКОЙ,0
1,1,31,1,0,0,1,ШИРИНА РУЛОНА,1
1,1,32,1,0,0,1,ИСПОЛЬЗОВАНИЕ ВЕСОВЫХ ДАТЧИКОВ,0
1,1,33,1,0,0,1,ОТРЕЗКА ПРИ ОТКРЫТОМ ЧЕКЕ,1
1,1,34,1,0,0,1,ИГНОРИРОВАТЬ ОШИБКИ ФОРМАТА ЧЕКА,0
1,1,35,1,0,0,1,СОКРАЩЕННЫЙ ОТЧЕТ С ГАШЕНИЕМ,1
1,1,36,1,0,176,255,ПОРОГОВОЕ ЗНАЧЕНИЕ НАПРЯЖЕНИЯ ПИТАНИЯ,176
1,1,37,1,0,0,255,МЕЖСТРОЧНЫЙ ИНТЕРВАЛ,5
1,1,38,1,0,0,1,СТРОКА <НАЛИЧНЫМИ> ПРИ НУЛЕВОЙ СДАЧЕ,0
1,1,39,1,0,0,255,ТИП ЭКЛЗ,3
1,1,40,1,0,3,16,КОЛИЧЕСТВО СТРОК РЕКЛАМНОГО ТЕКСТА,3
1,1,41,1,0,0,1,ПЕЧАТАТЬ КЛИШЕ,1
1,1,42,1,0,0,10,ЗВУК ПРИ ОТРЕЗКЕ ЧЕКА,0
1,1,43,1,0,0,1,ПРОВЕРЯТЬ ФП ПЕРЕД ОТЧЕТОМ С ГАШЕНИЕМ,0
1,1,44,1,0,1,99,ЗАДЕРЖКА ИМП.ПРИ ОТКР.ДЕН.ЯЩИКА В 10 МС.,30
1,1,45,1,0,0,1,ПЕЧАТАТЬ РНМ В ЗАГОЛОВКЕ,1
// ТАБЛИЦА 2, ПАРОЛИ КАССИРОВ И АДМИНИСТРАТОРОВ
// НОМЕР ТАБЛИЦЫ,РЯД,ПОЛЕ,РАЗМЕР ПОЛЯ,ТИП ПОЛЯ,МИН. ЗНАЧЕНИЕ, МАКС.ЗНАЧЕНИЕ, НАЗВАНИЕ,ЗНАЧЕНИЕ
2,1,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,1
2,2,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,2
2,3,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,3
2,4,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,4
2,5,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,5
2,6,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,6
2,7,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,7
2,8,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,8
2,9,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,9
2,10,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,10
2,11,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,11
2,12,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,12
2,13,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,13
2,14,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,14
2,15,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,15
2,16,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,16
2,17,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,17
2,18,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,18
2,19,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,19
2,20,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,20
2,21,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,21
2,22,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,22
2,23,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,23
2,24,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,24
2,25,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,25
2,26,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,26
2,27,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,27
2,28,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,28
2,29,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,29
2,30,1,4,0,0,99999999,ПАРОЛИ КАССИРОВ,30
2,1,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 1
2,2,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 2
2,3,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 3
2,4,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 4
2,5,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 5
2,6,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 6
2,7,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 7
2,8,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 8
2,9,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 9
2,10,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 10
2,11,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 11
2,12,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 12
2,13,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 13
2,14,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 14
2,15,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 15
2,16,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 16
2,17,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 17
2,18,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 18
2,19,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 19
2,20,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 20
2,21,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 21
2,22,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 22
2,23,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 23
2,24,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 24
2,25,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 25
2,26,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 26
